name,price,availability,link,size,type,rating,reviews_count
Materac sprężynowy kieszeniowy,999.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/valevag-materac-sprezyny-kieszeniowe-srednio-twardy-jasnoniebieski-10450667/,140x200,kieszeniowy,4.7,545
Materac sprężynowy kieszeniowy,999.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vesteroey-materac-sprezyny-kieszeniowe-srednio-twardy-jasnoniebieski-40450623/,160x200,kieszeniowy,4.8,341
Materac sprężynowy kieszeniowy,2299.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vagstranda-materac-sprezyny-kieszeniowe-twardy-jasnoniebieski-30450751/,160x200,kieszeniowy,4.7,215
Materac sprężynowy,699.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vestmarka-materac-sprezynowy-srednio-twardy-jasnoniebieski-70451287/,140x200,sprężynowy,4.7,121
Materac piankowy,179.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/agotnes-materac-piankowy-twardy-jasnoniebieski-00480858/,90x200,piankowy,4.5,126
Materac piankowy,349.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/afjaell-materac-piankowy-srednio-twardy-bialy-40568646/,90x200,piankowy,4.7,54
Materac piankowy,1599.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/akrehamn-materac-piankowy-twardy-bialy-60481647/,160x200,piankowy,4.9,85
Materac sprężynowy kieszeniowy,2999.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vatnestroem-materac-sprezyny-kieszeniowe-twardy-naturalny-90476404/,160x200,kieszeniowy,4.5,52
Materac piankowy,799.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/abygda-materac-piankowy-srednio-twardy-bialy-50481493/,90x200,piankowy,4.8,86
Materac piankowy,2299.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/anneland-materac-piankowy-twardy-bialy-20481710/,160x200,piankowy,4.7,56
Materac sprężynowy,449.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vadsoe-materac-sprezynowy-twardy-jasnoniebieski-90451229/,140x200,sprężynowy,4.2,49
Materac/puf,399.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vithaell-materac-puf-bardzo-twardy-vissle-szary-10565418/,80x200,puf,4.3,6
Materac piankowy na łóżko rozsuwane,199.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/plutten-materac-piankowy-na-lozko-rozsuwane-50339391/,80x200,piankowy,4.9,23
Materac sprężynowy kieszeniowy,449.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vannareid-materac-sprezyny-kieszeniowe-twardy-bezowy-90486728/,80x200,kieszeniowy,4.9,14
Materac/puf składany,399.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/slaekt-puf-materac-skladany-10362963/,,puf,4.7,47
Materac piankowy na łóżko rozsuwane,349.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vimsig-materac-piankowy-na-lozko-rozsuwane-40339382/,80x200,piankowy,4.9,56
Materac piankowy na łóżko młodzieżowe,249.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/underlig-materac-piankowy-do-lozka-mlodziez-bialy-30339392/,70x160,piankowy,4.8,74
Materac sprężynowy na łóżko rozsuwane,399.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/innerlig-materac-sprezynowy-do-lozka-rozsuw-90339389/,80x200,sprężynowy,4.8,47
Materac sprężynowy kieszeniowy na łóżeczko,299.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/jaettetroett-materac-sprez-kiesz-na-lozeczko-bialy-40321004/,60x120x11,kieszeniowy,5.0,30
Materac piankowy na łóżko rozsuwane,449.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/nattsmyg-materac-piankowy-na-lozko-rozsuwane-40339377/,80x200,piankowy,4.9,40
Materac piankowy do łóżeczka,129.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/pelleplutt-materac-piankowy-do-lozeczka-00336413/,60x120x6,do łóżeczka,4.5,12
Materac piankowy do łóżeczka,70.0,Chwilowe ograniczenia w dostawie,https://www.ikea.com/pl/pl/p/pluttig-materac-piankowy-do-lozeczka-00314581/,60x120x5,do łóżeczka,4.6,22
Materac sprężynowy kieszeniowy na łóżko rozsuwane,599.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/oemsint-materac-sprez-kiesz-na-lozko-rozs-10339388/,80x200,kieszeniowy,5.0,24
Materac piankowy do łóżeczka,199.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/krummelur-materac-piankowy-do-lozeczka-00321015/,60x120x8,do łóżeczka,4.9,33
Materac 3D do łóżeczka,499.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/himlavalv-materac-3d-do-lozeczka-90321006/,60x120x10,do łóżeczka,5.0,2
Materac piankowy do łóżeczka,229.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/skoenast-materac-piankowy-do-lozeczka-70321012/,60x120x8,do łóżeczka,4.9,36
Materac do kołyski,100.0,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/aelskvaerd-materac-do-kolyski-40515422/,40x73x3.5,do kołyski,5.0,1
