name,price,availability,type,size,rating,reviews_count
Materac kieszeniowy Fauna,619.0,Dostępne z dostawą,kieszeniowy,120x200,4.9,18
Materac kieszeniowy Fauna,696.0,Dostępne z dostawą,kieszeniowy,140x200,5.0,16
Materac kieszeniowy Fauna,769.0,Dostępne z dostawą,kieszeniowy,160x200,5.0,4
Materac kieszeniowy Fauna,515.0,Dostępne z dostawą,kieszeniowy,90x200,4.7,7
Materac kieszeniowy Wenus kokos,665.0,Dostępne z dostawą,kieszeniowy,120x200,4.8,8
Materac kieszeniowy Wenus kokos,749.0,Dostępne z dostawą,kieszeniowy,140x200,5.0,16
Materac kieszeniowy Wenus kokos,829.0,Dostępne z dostawą,kieszeniowy,160x200,5.0,7
Materac kieszeniowy Wenus kokos,545.0,Dostępne z dostawą,kieszeniowy,90x200,5.0,6
Materac piankowy Megana,279.0,Dostępne z dostawą,piankowy,120x200,4.8,4
Materac piankowy Megana,325.0,Dostępne z dostawą,piankowy,140x200,4.4,5
Materac piankowy Megana,365.0,Dostępne z dostawą,piankowy,160x200,5.0,1
Materac piankowy Megana,199.0,Dostępne z dostawą,piankowy,80x200,,0
Materac piankowy Megana,219.0,Dostępne z dostawą,piankowy,90x200,5.0,2
Materac piankowy Bona kokos,469.0,Dostępne z dostawą,piankowy,120x200,,0
Materac piankowy Bona kokos,379.0,Dostępne z dostawą,piankowy,90x200,,0
Materac sprężynowy Solaro kokos,619.0,Dostępne z dostawą,sprężynowy,120x200,,0
Materac sprężynowy Solaro kokos,695.0,Dostępne z dostawą,sprężynowy,140x200,5.0,1
Materac sprężynowy Solaro kokos,775.0,Dostępne z dostawą,sprężynowy,160x200,,0
Materac sprężynowy Solaro kokos,505.0,Dostępne z dostawą,sprężynowy,90x200,,0
Materac kieszeniowy Atlanta molet,739.0,Dostępne z dostawą,kieszeniowy,120x200,5.0,3
Materac kieszeniowy Atlanta molet,829.0,Dostępne z dostawą,kieszeniowy,140x200,,0
Materac kieszeniowy Atlanta molet,925.0,Dostępne z dostawą,kieszeniowy,160x200,,0
Materac kieszeniowy Atlanta molet,609.0,Dostępne z dostawą,kieszeniowy,90x200,5.0,1
Materac kieszeniowy Foster visco,849.0,Dostępne z dostawą,kieszeniowy,120x200,,0
Materac kieszeniowy Foster visco,959.0,Dostępne z dostawą,kieszeniowy,140x200,5.0,1
Materac kieszeniowy Foster visco,1075.0,Dostępne z dostawą,kieszeniowy,160x200,,0
Materac kieszeniowy Foster visco,689.0,Dostępne z dostawą,kieszeniowy,90x200,5.0,2
Materac kieszeniowy Foster Max visco,875.0,Dostępne z dostawą,kieszeniowy,120x200,,0
Materac kieszeniowy Foster Max visco,989.0,Dostępne z dostawą,kieszeniowy,140x200,,0
